The image processor of type `Qwen2VLImageProcessor` is now loaded as a fast processor by default, even if the model checkpoint was saved with a slow processor. This is a breaking change and may produce slightly different outputs. To continue using the slow processor, instantiate this class with `use_fast=False`. Note that this behavior will be extended to all models in a future release.
[TS] batch0/input: write_done_realtime_ns=1787628882252964708
[GPA] batch0/input/input_ids: GPA=0x34986f000
[GPA_FULL] batch0/input/input_ids: bytes=2960 pages=2 mapped=2 runs=1
[GPA_RUN] batch0/input/input_ids: 0x34986f000 len=2
[GPA] batch0/input/pixel_values: GPA=0x3514eb000
[GPA_FULL] batch0/input/pixel_values: bytes=5720064 pages=1397 mapped=1397 runs=793
[GPA_RUN] batch0/input/pixel_values: 0x3514eb000 len=21
[GPA_RUN] batch0/input/pixel_values: 0x30bb80000 len=32
[GPA_RUN] batch0/input/pixel_values: 0x34e480000 len=32
[GPA_RUN] batch0/input/pixel_values: 0x35afe0000 len=32
[GPA_RUN] batch0/input/pixel_values: 0x33e9a0000 len=32
[GPA_RUN] batch0/input/pixel_values: 0x3408c0000 len=32
[GPA_RUN] batch0/input/pixel_values: 0x1dc6a0000 len=32
[GPA_RUN] batch0/input/pixel_values: 0x354400000 len=32
[GPA_RUN] batch0/input/pixel_values: 0x3d54e0000 len=32
[GPA_RUN] batch0/input/pixel_values: 0x359920000 len=32
[GPA_RUN] batch0/input/pixel_values: 0x2ecbc0000 len=29
[GPA_RUN] batch0/input/pixel_values: 0x35ebe1000 len=31
[GPA_RUN] batch0/input/pixel_values: 0x35dd80000 len=9
[GPA_RUN] batch0/input/pixel_values: 0x36b563000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x36b566000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x36b56a000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x36b56d000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x36b571000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x36b574000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x36b578000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x36b57b000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x36b57f000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x36c9a2000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x36c9a6000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x36c9a9000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x36c9ad000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x36c9b0000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x36c9b4000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x36c9b7000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x36c9bb000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x36c9be000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x355ba2000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x355ba5000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x355ba9000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x355bac000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x355bb0000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x355bb3000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x355bb7000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x355bba000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x355bbe000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x313ce1000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x313ce5000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x313ce8000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x313cec000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x313cef000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x313cf3000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x313cf6000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x313cfa000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x313cfd000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x3c8f01000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x3c8f04000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x3c8f08000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x3c8f0b000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x3c8f0f000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x3c8f12000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x3c8f16000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x3c8f19000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x3c8f1d000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x391040000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x391044000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x391047000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x39104b000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x39104e000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x391052000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x391055000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x391059000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x39105c000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x1bfb80000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x1bfb83000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x1bfb87000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x1bfb8a000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x1bfb8e000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x1bfb91000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x1bfb95000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x1bfb98000 len=1
[GPA_RUN] batch0/input/pixel_values: 0x1bfb9c000 len=1
