CLOCK_REF  mono_ns=36352901455216  real_ns=1787630976728983784
WRITE  gpa=0x0000000105f49000  ts=36342621420361
WRITE  gpa=0x0000003f8b47a000  ts=36342621445330
WRITE  gpa=0x00000003d6a3b000  ts=36342621448830
WRITE  gpa=0x0000003f81ef6000  ts=36342621452860
WRITE  gpa=0x0000000359e80000  ts=36342621480480
WRITE  gpa=0x0000000111a3a000  ts=36342621524940
WRITE  gpa=0x0000000111a38000  ts=36342621544689
WRITE  gpa=0x0000000359e81000  ts=36342621556599
WRITE  gpa=0x0000003f8cbb7000  ts=36342621559579
WRITE  gpa=0x00000001182c6000  ts=36343012496822
WRITE  gpa=0x0000000100000000  ts=36343012501062
WRITE  gpa=0x00000001001ce000  ts=36343012504632
WRITE  gpa=0x000000011f682000  ts=36343012507842
WRITE  gpa=0x0000000103dba000  ts=36343012511522
WRITE  gpa=0x0000003ce5a15000  ts=36343012515012
WRITE  gpa=0x0000003ce5a16000  ts=36343012518152
WRITE  gpa=0x0000003ce6605000  ts=36343012522672
WRITE  gpa=0x0000003ce660b000  ts=36343012525872
WRITE  gpa=0x0000003ce660c000  ts=36343012528062
WRITE  gpa=0x0000003ce6601000  ts=36343012531352
WRITE  gpa=0x0000000100db1000  ts=36343012534222
WRITE  gpa=0x00000001195b6000  ts=36343012537122
WRITE  gpa=0x0000003ce5a15000  ts=36352901302608
WRITE  gpa=0x0000003ce5a16000  ts=36352901308537
WRITE  gpa=0x0000003ce5a03000  ts=36352901311597
WRITE  gpa=0x0000003ce6605000  ts=36352901317207
WRITE  gpa=0x0000003ce660b000  ts=36352901321217
WRITE  gpa=0x0000003ce660c000  ts=36352901324277
WRITE  gpa=0x0000003f7fc32000  ts=36352901329497
WRITE  gpa=0x0000003f7fc31000  ts=36352901335037
WRITE  gpa=0x0000003f7fc1f000  ts=36352901338657
WRITE  gpa=0x0000000100000000  ts=36352901343767
WRITE  gpa=0x00000001001ce000  ts=36352901349357
WRITE  gpa=0x00000001001cf000  ts=36352901352157
WRITE  gpa=0x0000003f7fc05000  ts=36352901355837
WRITE  gpa=0x0000003ce6601000  ts=36352901358987
WRITE  gpa=0x0000000100db1000  ts=36352901362337
WRITE  gpa=0x00000001001d0000  ts=36352901366647
WRITE  gpa=0x000000011ee30000  ts=36352901370697
WRITE  gpa=0x000000011ee31000  ts=36352901374387
WRITE  gpa=0x000000011ee34000  ts=36352901377777
WRITE  gpa=0x0000003f7fc23000  ts=36352901380717
WRITE  gpa=0x0000003ce5a07000  ts=36352901383407
