# 2-token clinical-ish bigrams  resolved=3462/3463
# clinical_filter=True  dropped={'bpe_fragment': 381, 'punct_prefix': 214, 'drop_always': 6, 'starts_with_glue': 281, 'ends_with_glue': 114, 'glue_only': 77, 'deny_regex': 136, 'no_alpha': 31, 'weak_solo_punct': 12}
# sorted by samples desc, then abs desc
[   1] samples= 562 abs= 565  ' of breath'  ids=[315, 11486]
[   2] samples= 515 abs= 519  'ness of'  ids=[2090, 315]
[   3] samples= 272 abs= 272  ' Shortness'  ids=[10698, 2090]
[   4] samples= 255 abs= 256  ' Cough'  ids=[356, 1384]
[   5] samples= 245 abs= 246  ' shortness'  ids=[2805, 2090]
[   6] samples= 235 abs= 236  ' breath.'  ids=[11486, 13]
[   7] samples= 212 abs= 214  ' chest pain'  ids=[15138, 6646]
[   8] samples= 141 abs= 142  ' Chest pain'  ids=[41771, 6646]
[   9] samples= 124 abs= 125  ' breath,'  ids=[11486, 11]
[  10] samples=  98 abs=  99  ' Respiratory'  ids=[76834, 5269]
[  11] samples=  83 abs=  83  'ough and'  ids=[1384, 323]
[  12] samples=  79 abs=  79  ', short'  ids=[11, 2805]
[  13] samples=  75 abs=  76  ' cough.'  ids=[39600, 13]
[  14] samples=  71 abs=  72  ' pneumonia.'  ids=[68229, 13]
[  15] samples=  68 abs=  69  ' cough,'  ids=[39600, 11]
[  16] samples=  63 abs=  63  ' rib pain'  ids=[20131, 6646]
[  17] samples=  62 abs=  63  ' COPD'  ids=[67572, 35]
[  18] samples=  59 abs=  59  ' Follow-up'  ids=[11112, 5239]
[  19] samples=  56 abs=  56  ' Weakness'  ids=[41164, 2090]
[  20] samples=  53 abs=  53  ' wheez'  ids=[14894, 10125]
[  21] samples=  53 abs=  53  ' PICC'  ids=[60606, 34]
[  22] samples=  52 abs=  52  ' CABG'  ids=[80117, 38]
[  23] samples=  49 abs=  49  ' COVID-'  ids=[19966, 12]
[  24] samples=  47 abs=  47  ' fever.'  ids=[33553, 13]
[  25] samples=  47 abs=  47  ' respiratory failure'  ids=[41531, 7901]
[  26] samples=  45 abs=  45  ' pneumoth'  ids=[56123, 8767]
[  27] samples=  45 abs=  45  ' Fever.'  ids=[83901, 13]
[  28] samples=  43 abs=  43  ' Hypert'  ids=[38415, 529]
[  29] samples=  42 abs=  44  ' catheter'  ids=[30647, 1404]
[  30] samples=  42 abs=  42  ' Hypox'  ids=[38415, 5131]
[  31] samples=  41 abs=  41  ' distress.'  ids=[34004, 13]
[  32] samples=  40 abs=  40  '-sided chest'  ids=[49758, 15138]
[  33] samples=  39 abs=  39  ' cancer.'  ids=[9387, 13]
[  34] samples=  38 abs=  38  ' Fever,'  ids=[83901, 11]
[  35] samples=  35 abs=  35  'C line'  ids=[34, 1555]
[  36] samples=  35 abs=  35  ' dysp'  ids=[21943, 79]
[  37] samples=  34 abs=  34  ' Preop'  ids=[4968, 453]
[  38] samples=  34 abs=  34  ' Dysp'  ids=[64042, 79]
[  39] samples=  33 abs=  33  ' intub'  ids=[526, 392]
[  40] samples=  33 abs=  33  ' reason:'  ids=[2874, 25]
[  41] samples=  33 abs=  33  ' Preoperative'  ids=[4968, 42619]
[  42] samples=  33 abs=  33  ' Visit reason'  ids=[19008, 2874]
[  43] samples=  33 abs=  33  ' respiratory distress'  ids=[41531, 34004]
[  44] samples=  33 abs=  33  ' congestion.'  ids=[54046, 13]
[  45] samples=  32 abs=  32  ' edema'  ids=[1578, 9176]
[  46] samples=  32 abs=  32  ' effusion'  ids=[3289, 7560]
[  47] samples=  32 abs=  32  ' Followup'  ids=[11112, 454]
[  48] samples=  32 abs=  32  ' newborn.'  ids=[45297, 13]
[  49] samples=  32 abs=  32  ' smoker.'  ids=[77220, 13]
[  50] samples=  31 abs=  31  ' today.'  ids=[3351, 13]
[  51] samples=  30 abs=  30  ' central line'  ids=[8622, 1555]
[  52] samples=  29 abs=  29  ' Productive'  ids=[5643, 533]
[  53] samples=  29 abs=  29  ' productive cough'  ids=[26236, 39600]
[  54] samples=  28 abs=  28  ' weakness.'  ids=[23078, 13]
[  55] samples=  28 abs=  28  ' fever,'  ids=[33553, 11]
[  56] samples=  27 abs=  27  ' Nause'  ids=[451, 3454]
[  57] samples=  27 abs=  27  ' disease.'  ids=[8457, 13]
[  58] samples=  27 abs=  27  ' Wheez'  ids=[32004, 10125]
[  59] samples=  26 abs=  28  ' aortic'  ids=[264, 89338]
[  60] samples=  26 abs=  26  ' Seps'  ids=[328, 7124]
[  61] samples=  26 abs=  26  ' endotr'  ids=[835, 86379]
[  62] samples=  26 abs=  26  ' Smoker'  ids=[4388, 10451]
[  63] samples=  26 abs=  26  ' pleural'  ids=[7100, 4176]
[  64] samples=  26 abs=  26  ' vehicle accident'  ids=[7310, 11423]
[  65] samples=  26 abs=  26  ' hypox'  ids=[9751, 5131]
[  66] samples=  26 abs=  26  ' Trauma'  ids=[17298, 13416]
[  67] samples=  25 abs=  26  ' Abdom'  ids=[3680, 5600]
[  68] samples=  25 abs=  25  ' Central line'  ids=[10684, 1555]
[  69] samples=  25 abs=  25  ' Motor vehicle'  ids=[17614, 7310]
[  70] samples=  24 abs=  24  ' Postop'  ids=[3877, 453]
[  71] samples=  24 abs=  24  ' heart failure'  ids=[4746, 7901]
[  72] samples=  24 abs=  24  ' hypertension,'  ids=[62208, 11]
[  73] samples=  24 abs=  24  ' fibrillation'  ids=[94135, 66084]
[  74] samples=  23 abs=  23  ' tightness'  ids=[10296, 2090]
[  75] samples=  23 abs=  23  ' hypertension.'  ids=[62208, 13]
[  76] samples=  22 abs=  23  ' motor vehicle'  ids=[8872, 7310]
[  77] samples=  22 abs=  22  ' Follow up'  ids=[11112, 705]
