CLOCK_REF  mono_ns=4585007197872  real_ns=1788580512007551135
WRITE  gpa=0x000000011f432000  ts=4587050871809
WRITE  gpa=0x0000000100000000  ts=4587050894568
WRITE  gpa=0x00000001001ce000  ts=4587050902658
WRITE  gpa=0x00000001001cf000  ts=4587050909398
WRITE  gpa=0x0000000100db1000  ts=4587050916378
WRITE  gpa=0x0000000104014000  ts=4587050923268
WRITE  gpa=0x00000001001d0000  ts=4587050930188
WRITE  gpa=0x000000011ee31000  ts=4587050936688
WRITE  gpa=0x000000011ee32000  ts=4587050943488
WRITE  gpa=0x000000011ee35000  ts=4587050949698
WRITE  gpa=0x000000011ee33000  ts=4587050958308
WRITE  gpa=0x000000010fd60000  ts=4587050989538
WRITE  gpa=0x0000000120854000  ts=4587051015228
WRITE  gpa=0x0000000103bbd000  ts=4587051022618
WRITE  gpa=0x000000011f432000  ts=4587079508752
WRITE  gpa=0x0000000100000000  ts=4587079896980
WRITE  gpa=0x00000001001ce000  ts=4587079904800
WRITE  gpa=0x00000001001cf000  ts=4587079910380
WRITE  gpa=0x0000000100db1000  ts=4587079916950
WRITE  gpa=0x0000000104014000  ts=4587079922850
WRITE  gpa=0x00000001001d0000  ts=4587079928840
WRITE  gpa=0x000000011ee31000  ts=4587079934410
WRITE  gpa=0x000000011ee32000  ts=4587079940320
WRITE  gpa=0x000000011ee35000  ts=4587079945970
WRITE  gpa=0x000000011ee33000  ts=4587079952560
WRITE  gpa=0x000000011f2ba000  ts=4587079959500
WRITE  gpa=0x000000011ef5c000  ts=4587079967240
WRITE  gpa=0x0000000100040000  ts=4587079974370
WRITE  gpa=0x0000000102251000  ts=4587079981130
WRITE  gpa=0x0000000102252000  ts=4587079986730
WRITE  gpa=0x0000000103b4d000  ts=4587079993670
WRITE  gpa=0x000000011f2bc000  ts=4587079999810
WRITE  gpa=0x000000011f2b9000  ts=4587080023250
WRITE  gpa=0x000000011f0f3000  ts=4587080031710
WRITE  gpa=0x0000000100db3000  ts=4587080039310
WRITE  gpa=0x0000000100278000  ts=4587080071449
WRITE  gpa=0x000000011ee4c000  ts=4587080095309
WRITE  gpa=0x000000011f16d000  ts=4587080105059
WRITE  gpa=0x0000000112d70000  ts=4587080135379
WRITE  gpa=0x0000000112d71000  ts=4587080143139
WRITE  gpa=0x000000011ee9b000  ts=4587080151289
WRITE  gpa=0x00000001146e4000  ts=4587080161019
WRITE  gpa=0x0000000114905000  ts=4587080168729
WRITE  gpa=0x0000000104204000  ts=4587080205709
WRITE  gpa=0x00000001043b4000  ts=4587080212739
WRITE  gpa=0x0000003f822b5000  ts=4587080221999
WRITE  gpa=0x0000000113f35000  ts=4587080265309
WRITE  gpa=0x000000011868b000  ts=4587080284199
WRITE  gpa=0x000000011772a000  ts=4587080292449
WRITE  gpa=0x000000010fd60000  ts=4587080299239
WRITE  gpa=0x000000011077e000  ts=4587080314228
WRITE  gpa=0x0000000104b73000  ts=4587080321168
WRITE  gpa=0x00000001181f9000  ts=4587080372438
WRITE  gpa=0x00000001181f6000  ts=4587080379668
WRITE  gpa=0x0000000103b4c000  ts=4587080387918
WRITE  gpa=0x0000000113f45000  ts=4587080403278
WRITE  gpa=0x00000001176a0000  ts=4587080412768
WRITE  gpa=0x0000000117c9b000  ts=4587080420198
WRITE  gpa=0x0000000113e13000  ts=4587080439658
WRITE  gpa=0x0000000119492000  ts=4587080446338
WRITE  gpa=0x0000000103e35000  ts=4587080452228
WRITE  gpa=0x00000001159f0000  ts=4587080459208
WRITE  gpa=0x000000011f5bd000  ts=4587080465398
WRITE  gpa=0x000000010363f000  ts=4587080472118
WRITE  gpa=0x000000010361e000  ts=4587080479438
WRITE  gpa=0x0000000120854000  ts=4587080513648
WRITE  gpa=0x0000000103bbd000  ts=4587080520098
WRITE  gpa=0x0000000100214000  ts=4587080543138
WRITE  gpa=0x00000001001da000  ts=4587080552768
WRITE  gpa=0x0000000100294000  ts=4587080572057
WRITE  gpa=0x0000000100295000  ts=4587080577967
WRITE  gpa=0x000000011d2e6000  ts=4587080585347
WRITE  gpa=0x0000000112856000  ts=4587080606667
WRITE  gpa=0x0000000103b03000  ts=4587080615487
WRITE  gpa=0x000000011ee44000  ts=4587080621937
WRITE  gpa=0x000000010fd24000  ts=4587080630227
WRITE  gpa=0x00000001128a9000  ts=4587080638047
WRITE  gpa=0x0000000103eba000  ts=4587080645277
WRITE  gpa=0x000000010fd49000  ts=4587080652357
WRITE  gpa=0x0000000103c7b000  ts=4587080659287
WRITE  gpa=0x0000000121a15000  ts=4587080665867
WRITE  gpa=0x000000013bda9000  ts=4587080672867
WRITE  gpa=0x000000011a839000  ts=4587080707007
WRITE  gpa=0x0000000120b61000  ts=4587080715537
WRITE  gpa=0x000000011064e000  ts=4587080729107
WRITE  gpa=0x000000011079d000  ts=4587080736787
WRITE  gpa=0x000000011074e000  ts=4587080745167
WRITE  gpa=0x00000001040e7000  ts=4587080751517
WRITE  gpa=0x00000001146c4000  ts=4587080757947
WRITE  gpa=0x0000000140047000  ts=4587080765727
WRITE  gpa=0x000000010fd47000  ts=4587080798797
WRITE  gpa=0x00000001128c2000  ts=4587080807176
WRITE  gpa=0x000000010296a000  ts=4587080813576
WRITE  gpa=0x00000001146ec000  ts=4587080820006
WRITE  gpa=0x0000000113f12000  ts=4587080827166
WRITE  gpa=0x00000001414c5000  ts=4587080844216
WRITE  gpa=0x000000015b0f9000  ts=4587080883466
WRITE  gpa=0x00000001107db000  ts=4587080922486
WRITE  gpa=0x000000013ec15000  ts=4587080939836
WRITE  gpa=0x0000000140e34000  ts=4587080971676
WRITE  gpa=0x000000014743c000  ts=4587081001356
WRITE  gpa=0x00000001433e8000  ts=4587081031036
WRITE  gpa=0x0000000153d9d000  ts=4587081063655
WRITE  gpa=0x00000001197dc000  ts=4587081098525
WRITE  gpa=0x0000000110651000  ts=4587081106065
WRITE  gpa=0x0000000119553000  ts=4587081118495
WRITE  gpa=0x0000000110641000  ts=4587081156985
WRITE  gpa=0x0000000104a12000  ts=4587081168245
WRITE  gpa=0x00000001146b2000  ts=4587081183725
WRITE  gpa=0x000000010fdec000  ts=4587081190285
WRITE  gpa=0x000000011d3a7000  ts=4587081196795
WRITE  gpa=0x000000011f2bb000  ts=4587081205265
WRITE  gpa=0x0000003f82219000  ts=4587081213305
WRITE  gpa=0x0000003f82e9d000  ts=4587081220815
