Loading UNet_training_v5.json ...
  .out_v5.list index count : 2608
  v5.json matched samples  : 2608
  RealListDataset: 2348 files loaded

UNetGeneratorR | Device: cpu
  json_train : 2347 (matched, augment_sparsity)
  real_ds    : 2348 (.out_v5.list, real, val 제외)
  train total: 4695
  val        : 261 (matched, fixed sparsity)
G params: 1,024,993  D params: 34,593
--------------------------------------------------------------------------------
[  1/100]  D:0.5975  G:1.4490  mse:0.12635  SSIM:0.2635 ← saved
[  2/100]  D:0.3925  G:1.2923  mse:0.11091  SSIM:0.2924 ← saved
[  3/100]  D:0.2484  G:1.2582  mse:0.09370  SSIM:0.3086 ← saved
[  4/100]  D:0.1682  G:1.2385  mse:0.08008  SSIM:0.3252 ← saved
[  5/100]  D:0.1247  G:1.2234  mse:0.07199  SSIM:0.3320 ← saved
[  6/100]  D:0.1001  G:1.2085  mse:0.06164  SSIM:0.3519 ← saved
[  7/100]  D:0.0853  G:1.1941  mse:0.06204  SSIM:0.3548 ← saved
[  8/100]  D:0.0772  G:1.1762  mse:0.06336  SSIM:0.3630 ← saved
[  9/100]  D:0.0711  G:1.1517  mse:0.06229  SSIM:0.3807 ← saved
[ 10/100]  D:0.0669  G:1.1221  mse:0.05682  SSIM:0.4121 ← saved
[ 11/100]  D:0.0727  G:1.0856  mse:0.05794  SSIM:0.4265 ← saved
[ 12/100]  D:0.0688  G:1.0466  mse:0.04723  SSIM:0.4723 ← saved
[ 13/100]  D:0.0722  G:1.0025  mse:0.04445  SSIM:0.4944 ← saved
[ 14/100]  D:0.0887  G:0.9480  mse:0.03688  SSIM:0.5490 ← saved
[ 15/100]  D:0.0821  G:0.9029  mse:0.03289  SSIM:0.5805 ← saved
[ 16/100]  D:0.0965  G:0.8467  mse:0.03036  SSIM:0.5990 ← saved
[ 17/100]  D:0.1195  G:0.7940  mse:0.03197  SSIM:0.5940
[ 18/100]  D:0.1389  G:0.7373  mse:0.02639  SSIM:0.6573 ← saved
[ 19/100]  D:0.1748  G:0.6822  mse:0.02831  SSIM:0.6431
[ 20/100]  D:0.2244  G:0.6270  mse:0.02261  SSIM:0.6820 ← saved
[ 21/100]  D:0.2476  G:0.5663  mse:0.02222  SSIM:0.6957 ← saved
[ 22/100]  D:0.2992  G:0.5166  mse:0.02217  SSIM:0.7140 ← saved
[ 23/100]  D:0.3442  G:0.4722  mse:0.02125  SSIM:0.7318 ← saved
[ 24/100]  D:0.3988  G:0.4175  mse:0.02037  SSIM:0.7694 ← saved
[ 25/100]  D:0.4306  G:0.3742  mse:0.01964  SSIM:0.7917 ← saved
[ 26/100]  D:0.4577  G:0.3387  mse:0.02045  SSIM:0.7950 ← saved
[ 27/100]  D:0.4816  G:0.3072  mse:0.02058  SSIM:0.8075 ← saved
[ 28/100]  D:0.5021  G:0.2812  mse:0.01952  SSIM:0.8170 ← saved
[ 29/100]  D:0.5183  G:0.2606  mse:0.02022  SSIM:0.8216 ← saved
[ 30/100]  D:0.5365  G:0.2435  mse:0.01990  SSIM:0.8305 ← saved
[ 31/100]  D:0.5498  G:0.2285  mse:0.02081  SSIM:0.8282
[ 32/100]  D:0.5576  G:0.2179  mse:0.01979  SSIM:0.8382 ← saved
[ 33/100]  D:0.5704  G:0.2066  mse:0.02195  SSIM:0.8277
[ 34/100]  D:0.5781  G:0.1975  mse:0.02189  SSIM:0.8332
