CLOCK_REF  mono_ns=726440480399807  real_ns=1789307723582610042
WRITE  gpa=0x000000011eee4000  ts=726442913035402
WRITE  gpa=0x0000002a33815000  ts=726442913870983
WRITE  gpa=0x0000002a33816000  ts=726442913876313
WRITE  gpa=0x0000002a33803000  ts=726442913880223
WRITE  gpa=0x0000002a34405000  ts=726442913886073
WRITE  gpa=0x0000002a3440b000  ts=726442913890463
WRITE  gpa=0x0000002a3440c000  ts=726442913892973
WRITE  gpa=0x0000003f7fc32000  ts=726442913900183
WRITE  gpa=0x0000003f7fc31000  ts=726442913904613
WRITE  gpa=0x0000003f7fc1f000  ts=726442913908022
WRITE  gpa=0x0000000100000000  ts=726442913913462
WRITE  gpa=0x00000001001ce000  ts=726442913918252
WRITE  gpa=0x00000001001cf000  ts=726442913921222
WRITE  gpa=0x0000003f7fc05000  ts=726442913923952
WRITE  gpa=0x0000002a34401000  ts=726442913926942
WRITE  gpa=0x0000000100db1000  ts=726442913932352
WRITE  gpa=0x00000001001d0000  ts=726442913935662
WRITE  gpa=0x000000011ee32000  ts=726442913939112
WRITE  gpa=0x000000011ee33000  ts=726442913943332
WRITE  gpa=0x000000011ee36000  ts=726442913946402
WRITE  gpa=0x0000003f7fc23000  ts=726442913949062
WRITE  gpa=0x0000002a33807000  ts=726442913952402
WRITE  gpa=0x0000002a33fd5000  ts=726442913955382
WRITE  gpa=0x0000002a33fd3000  ts=726442913958202
WRITE  gpa=0x0000002a339d0000  ts=726442913963462
WRITE  gpa=0x000000011ee34000  ts=726442913966502
WRITE  gpa=0x0000002a33c0c000  ts=726442913970042
WRITE  gpa=0x0000003f7fc2e000  ts=726442913973182
WRITE  gpa=0x0000003f7fc33000  ts=726442913977282
WRITE  gpa=0x0000003f7fc15000  ts=726442913979992
WRITE  gpa=0x0000002a3440d000  ts=726442913984612
WRITE  gpa=0x0000002a3440e000  ts=726442913987052
WRITE  gpa=0x0000002a3381c000  ts=726442913989792
WRITE  gpa=0x0000003f7fc22000  ts=726442914000042
WRITE  gpa=0x0000002a33f65000  ts=726442914004381
WRITE  gpa=0x0000002a33be3000  ts=726442914007481
WRITE  gpa=0x0000003f7fc20000  ts=726442914010341
WRITE  gpa=0x0000003f7fc2d000  ts=726442914014181
WRITE  gpa=0x0000000103b11000  ts=726442914018491
WRITE  gpa=0x0000000120b74000  ts=726442914022901
WRITE  gpa=0x0000000103ed4000  ts=726442914028241
WRITE  gpa=0x00000001034de000  ts=726442914032541
WRITE  gpa=0x0000002a3381b000  ts=726442914043891
WRITE  gpa=0x0000000117598000  ts=726442914047541
WRITE  gpa=0x0000000122e0d000  ts=726442914052141
WRITE  gpa=0x0000003f7fc36000  ts=726442914056231
WRITE  gpa=0x00000003d6b28000  ts=726442914060421
WRITE  gpa=0x00000003cb3ff000  ts=726442914065941
WRITE  gpa=0x0000000100325000  ts=726442914070581
WRITE  gpa=0x0000000100324000  ts=726442914073581
WRITE  gpa=0x00000011ee919000  ts=726442914078131
WRITE  gpa=0x00000003cc410000  ts=726442914084531
WRITE  gpa=0x000000011f2b8000  ts=726442914090721
WRITE  gpa=0x000000011ee31000  ts=726442914093851
WRITE  gpa=0x000000010004f000  ts=726442914097321
WRITE  gpa=0x0000000100123000  ts=726442914101650
WRITE  gpa=0x00000003cf5b8000  ts=726442914106690
WRITE  gpa=0x00000012c7c54000  ts=726442914110570
WRITE  gpa=0x00000012c998f000  ts=726442914116220
WRITE  gpa=0x00000012c998e000  ts=726442914119450
WRITE  gpa=0x0000001031425000  ts=726442914123180
WRITE  gpa=0x0000001031ac7000  ts=726442914129430
WRITE  gpa=0x0000000100d61000  ts=726442914133640
WRITE  gpa=0x0000000100320000  ts=726442914136350
WRITE  gpa=0x0000000100db0000  ts=726442914138900
WRITE  gpa=0x0000000113819000  ts=726442914144080
WRITE  gpa=0x00000001138ca000  ts=726442914148090
WRITE  gpa=0x000000011f55a000  ts=726442914152520
WRITE  gpa=0x000000011f7e0000  ts=726442914156500
WRITE  gpa=0x0000002a33817000  ts=726442914161020
WRITE  gpa=0x0000000100db4000  ts=726442914163700
WRITE  gpa=0x0000000121949000  ts=726442914168210
WRITE  gpa=0x00000001050d6000  ts=726442914173440
WRITE  gpa=0x000000012194a000  ts=726442914176850
WRITE  gpa=0x000000012194e000  ts=726442914179810
WRITE  gpa=0x000000011f2b7000  ts=726442914183710
WRITE  gpa=0x0000000103bc0000  ts=726442914188070
WRITE  gpa=0x000000011ec73000  ts=726442914191590
WRITE  gpa=0x000000011ecb3000  ts=726442914195370
WRITE  gpa=0x00000001217e4000  ts=726442914199089
WRITE  gpa=0x000000011ee3f000  ts=726442914202459
WRITE  gpa=0x0000000103563000  ts=726442914207339
WRITE  gpa=0x000000010514b000  ts=726442914212779
WRITE  gpa=0x000000011f2b9000  ts=726442914215929
WRITE  gpa=0x00000001217e5000  ts=726442914220999
WRITE  gpa=0x000000011ef84000  ts=726442914225809
WRITE  gpa=0x000000010b22d000  ts=726442914232649
WRITE  gpa=0x0000000103bfd000  ts=726442914238079
WRITE  gpa=0x000000010fe05000  ts=726442914243189
WRITE  gpa=0x000000010438c000  ts=726442914248359
WRITE  gpa=0x00000001043ba000  ts=726442914253449
WRITE  gpa=0x000000010444f000  ts=726442914259079
WRITE  gpa=0x0000000115285000  ts=726442914266029
WRITE  gpa=0x00000001079cd000  ts=726442914273419
WRITE  gpa=0x000000011cb72000  ts=726442914278549
WRITE  gpa=0x00000001049eb000  ts=726442914284339
WRITE  gpa=0x000000011826c000  ts=726442914288409
WRITE  gpa=0x000000010fe4b000  ts=726442914294478
WRITE  gpa=0x0000000122dfb000  ts=726442914320098
WRITE  gpa=0x0000000114b68000  ts=726442914326518
WRITE  gpa=0x000000010b230000  ts=726442914334658
WRITE  gpa=0x000000010b22f000  ts=726442914339378
WRITE  gpa=0x000000012085a000  ts=726442914351368
WRITE  gpa=0x0000000105149000  ts=726442914354638
WRITE  gpa=0x000000011ee4f000  ts=726442914358118
WRITE  gpa=0x0000000103fbe000  ts=726442914361698
WRITE  gpa=0x0000000117c2d000  ts=726442914365838
WRITE  gpa=0x0000000122e0f000  ts=726442914371238
WRITE  gpa=0x000000011ee7e000  ts=726442914374558
WRITE  gpa=0x00000001068b8000  ts=726442914378978
WRITE  gpa=0x00000001057b8000  ts=726442914383698
WRITE  gpa=0x0000000114d5d000  ts=726442914387638
WRITE  gpa=0x0000002a33fd4000  ts=726442914390697
WRITE  gpa=0x0000002a33849000  ts=726442914394577
WRITE  gpa=0x0000003f7fc21000  ts=726442914398697
WRITE  gpa=0x0000002a3415e000  ts=726442914402537
WRITE  gpa=0x0000002a33a0c000  ts=726442914406327
WRITE  gpa=0x00000001029e6000  ts=726442914411457
WRITE  gpa=0x0000000120861000  ts=726442914414697
WRITE  gpa=0x0000003f7fc00000  ts=726442914424127
WRITE  gpa=0x0000003f7fc0b000  ts=726442914427387
WRITE  gpa=0x0000000100321000  ts=726442914434487
