class,rank,count,pct,u8_p0,u8_p1,u8_p2,u8_p3,ref64,hex
ELBOW,1,3223793,5.2119,0,0,0,0,*,00000000000000000000000000000000
ELBOW,2,999603,1.6161,3,3,3,3,*,c1c0403cc1c0403cc1c0403cc1c0403c
ELBOW,3,874377,1.4136,4,4,4,4,*,8180803c8180803c8180803c8180803c
ELBOW,4,677744,1.0957,1,1,1,1,*,8180803b8180803b8180803b8180803b
ELBOW,5,470197,0.7602,30,30,30,30,*,f1f0f03df1f0f03df1f0f03df1f0f03d
ELBOW,6,442474,0.7153,31,31,31,31,*,f9f8f83df9f8f83df9f8f83df9f8f83d
ELBOW,7,428727,0.6931,29,29,29,29,*,e9e8e83de9e8e83de9e8e83de9e8e83d
ELBOW,8,415911,0.6724,10,10,10,10,*,a1a0203da1a0203da1a0203da1a0203d
ELBOW,9,397942,0.6434,32,32,32,32,*,8180003e8180003e8180003e8180003e
ELBOW,10,367344,0.5939,28,28,28,28,*,e1e0e03de1e0e03de1e0e03de1e0e03d
ELBOW,11,341344,0.5519,5,5,5,5,*,a1a0a03ca1a0a03ca1a0a03ca1a0a03c
ELBOW,12,304676,0.4926,33,33,33,33,*,8584043e8584043e8584043e8584043e
ELBOW,13,276137,0.4464,27,27,27,27,*,d9d8d83dd9d8d83dd9d8d83dd9d8d83d
ELBOW,14,258817,0.4184,38,38,38,38,*,9998183e9998183e9998183e9998183e
ELBOW,15,246940,0.3992,34,34,34,34,*,8988083e8988083e8988083e8988083e
ELBOW,16,240597,0.3890,2,2,2,2,*,8180003c8180003c8180003c8180003c
ELBOW,17,236686,0.3826,11,11,11,11,*,b1b0303db1b0303db1b0303db1b0303d
ELBOW,18,235878,0.3813,9,9,9,9,*,9190103d9190103d9190103d9190103d
ELBOW,19,230126,0.3720,217,217,217,217,,dad9593fdad9593fdad9593fdad9593f
ELBOW,20,211968,0.3427,35,35,35,35,*,8d8c0c3e8d8c0c3e8d8c0c3e8d8c0c3e
ELBOW,21,208980,0.3379,26,26,26,26,*,d1d0d03dd1d0d03dd1d0d03dd1d0d03d
ELBOW,22,181631,0.2936,25,25,25,25,*,c9c8c83dc9c8c83dc9c8c83dc9c8c83d
ELBOW,23,174213,0.2816,36,36,36,36,*,9190103e9190103e9190103e9190103e
ELBOW,24,170578,0.2758,8,8,8,8,*,8180003d8180003d8180003d8180003d
ELBOW,25,167489,0.2708,56,56,56,56,*,e1e0603ee1e0603ee1e0603ee1e0603e
ELBOW,26,163741,0.2647,6,6,6,6,*,c1c0c03cc1c0c03cc1c0c03cc1c0c03c
ELBOW,27,161478,0.2611,24,24,24,24,*,c1c0c03dc1c0c03dc1c0c03dc1c0c03d
ELBOW,28,159001,0.2571,57,57,57,57,*,e5e4643ee5e4643ee5e4643ee5e4643e
ELBOW,29,157487,0.2546,55,55,55,55,*,dddc5c3edddc5c3edddc5c3edddc5c3e
ELBOW,30,156722,0.2534,60,60,60,60,*,f1f0703ef1f0703ef1f0703ef1f0703e
ELBOW,31,155699,0.2517,54,54,54,54,*,d9d8583ed9d8583ed9d8583ed9d8583e
ELBOW,32,154110,0.2491,58,58,58,58,*,e9e8683ee9e8683ee9e8683ee9e8683e
ELBOW,33,153603,0.2483,59,59,59,59,*,edec6c3eedec6c3eedec6c3eedec6c3e
ELBOW,34,151765,0.2454,61,61,61,61,*,f5f4743ef5f4743ef5f4743ef5f4743e
ELBOW,35,150821,0.2438,53,53,53,53,*,d5d4543ed5d4543ed5d4543ed5d4543e
ELBOW,36,146834,0.2374,52,52,52,52,*,d1d0503ed1d0503ed1d0503ed1d0503e
ELBOW,37,146589,0.2370,23,23,23,23,*,b9b8b83db9b8b83db9b8b83db9b8b83d
ELBOW,38,143381,0.2318,62,62,62,62,*,f9f8783ef9f8783ef9f8783ef9f8783e
ELBOW,39,142530,0.2304,37,37,37,37,*,9594143e9594143e9594143e9594143e
ELBOW,40,139509,0.2255,22,22,22,22,*,b1b0b03db1b0b03db1b0b03db1b0b03d
ELBOW,41,138303,0.2236,64,64,64,64,*,8180803e8180803e8180803e8180803e
