rank,count,cumul_pct,u8_p0,u8_p1,u8_p2,u8_p3,ref64_rank,hex
1,25800460,5.5879,0,0,0,0,1,00000000000000000000000000000000
2,7261962,7.1607,4,4,4,4,2,8180803c8180803c8180803c8180803c
3,6192463,8.5019,1,1,1,1,3,8180803b8180803b8180803b8180803b
4,5753504,9.7480,3,3,3,3,4,c1c0403cc1c0403cc1c0403cc1c0403c
5,3693081,10.5478,2,2,2,2,5,8180003c8180003c8180003c8180003c
6,3065401,11.2118,5,5,5,5,6,a1a0a03ca1a0a03ca1a0a03ca1a0a03c
7,2562921,11.7668,29,29,29,29,7,e9e8e83de9e8e83de9e8e83de9e8e83d
8,2413342,12.2895,30,30,30,30,8,f1f0f03df1f0f03df1f0f03df1f0f03d
9,2297279,12.7871,35,35,35,35,9,8d8c0c3e8d8c0c3e8d8c0c3e8d8c0c3e
10,2273842,13.2795,32,32,32,32,10,8180003e8180003e8180003e8180003e
11,2218704,13.7601,34,34,34,34,11,8988083e8988083e8988083e8988083e
12,2154739,14.2268,33,33,33,33,12,8584043e8584043e8584043e8584043e
13,2133603,14.6889,31,31,31,31,13,f9f8f83df9f8f83df9f8f83df9f8f83d
14,2133160,15.1509,38,38,38,38,14,9998183e9998183e9998183e9998183e
15,2099183,15.6055,10,10,10,10,15,a1a0203da1a0203da1a0203da1a0203d
16,2062773,16.0523,28,28,28,28,16,e1e0e03de1e0e03de1e0e03de1e0e03d
17,1815425,16.4454,9,9,9,9,17,9190103d9190103d9190103d9190103d
18,1797308,16.8347,36,36,36,36,18,9190103e9190103e9190103e9190103e
19,1665016,17.1953,27,27,27,27,19,d9d8d83dd9d8d83dd9d8d83dd9d8d83d
20,1603448,17.5426,11,11,11,11,20,b1b0303db1b0303db1b0303db1b0303d
21,1492391,17.8658,8,8,8,8,21,8180003d8180003d8180003d8180003d
22,1381655,18.1651,37,37,37,37,22,9594143e9594143e9594143e9594143e
23,1307962,18.4483,6,6,6,6,23,c1c0c03cc1c0c03cc1c0c03cc1c0c03c
24,1274265,18.7243,7,7,7,7,24,e1e0e03ce1e0e03ce1e0e03ce1e0e03c
