CLOCK_REF  mono_ns=733036711008304  real_ns=1789314319813218549
WRITE  gpa=0x000000010ebce000  ts=733038104116245
WRITE  gpa=0x000000244b815000  ts=733038104139095
WRITE  gpa=0x000000244b816000  ts=733038104142745
WRITE  gpa=0x000000244b803000  ts=733038104146055
WRITE  gpa=0x000000244c405000  ts=733038104150485
WRITE  gpa=0x000000244c40b000  ts=733038104154705
WRITE  gpa=0x000000244c40c000  ts=733038104157165
WRITE  gpa=0x0000003f7fc32000  ts=733038104161535
WRITE  gpa=0x0000003f7fc31000  ts=733038104166005
WRITE  gpa=0x0000003f7fc1f000  ts=733038104169405
WRITE  gpa=0x0000000100000000  ts=733038104172995
WRITE  gpa=0x00000001001ce000  ts=733038104176965
WRITE  gpa=0x00000001001cf000  ts=733038104179905
WRITE  gpa=0x0000003f7fc05000  ts=733038104183304
WRITE  gpa=0x000000244c401000  ts=733038104186534
WRITE  gpa=0x0000000100db1000  ts=733038104190624
WRITE  gpa=0x00000001001d0000  ts=733038104193994
WRITE  gpa=0x000000011ed6f000  ts=733038104197174
WRITE  gpa=0x000000011ee30000  ts=733038104201244
WRITE  gpa=0x000000011ee33000  ts=733038104204194
WRITE  gpa=0x0000003f7fc23000  ts=733038104206664
WRITE  gpa=0x000000244b807000  ts=733038104209234
WRITE  gpa=0x000000244bfd5000  ts=733038104213064
WRITE  gpa=0x000000244bfd3000  ts=733038105134645
WRITE  gpa=0x000000244b9d0000  ts=733038105138195
WRITE  gpa=0x000000011ee31000  ts=733038105141295
WRITE  gpa=0x000000244bc0c000  ts=733038105144284
WRITE  gpa=0x0000003f7fc2e000  ts=733038105148224
WRITE  gpa=0x0000003f7fc33000  ts=733038105151324
WRITE  gpa=0x0000003f7fc15000  ts=733038105154724
WRITE  gpa=0x000000244c40d000  ts=733038105158894
WRITE  gpa=0x000000244c40e000  ts=733038105161314
WRITE  gpa=0x000000244b81c000  ts=733038105164104
WRITE  gpa=0x0000003f7fc22000  ts=733038105173054
WRITE  gpa=0x000000010bbb9000  ts=733038105176574
WRITE  gpa=0x000000010e655000  ts=733038105180224
WRITE  gpa=0x000000244bbe3000  ts=733038105183674
WRITE  gpa=0x0000003f7fc20000  ts=733038105186884
WRITE  gpa=0x0000003f7fc2d000  ts=733038105190994
WRITE  gpa=0x000000244bf65000  ts=733038105194224
WRITE  gpa=0x0000000103b0e000  ts=733038105198234
WRITE  gpa=0x0000000108f2c000  ts=733038105202614
WRITE  gpa=0x000000010a3a1000  ts=733038105206094
WRITE  gpa=0x0000000117587000  ts=733038105209704
WRITE  gpa=0x0000000117586000  ts=733038105212844
WRITE  gpa=0x000000011f2b1000  ts=733038105219704
WRITE  gpa=0x000000010ba36000  ts=733038105223754
WRITE  gpa=0x0000000100040000  ts=733038105227654
WRITE  gpa=0x0000000102251000  ts=733038105231434
WRITE  gpa=0x0000000102252000  ts=733038105234154
WRITE  gpa=0x000000010b8f7000  ts=733038105237384
WRITE  gpa=0x000000010a36b000  ts=733038105241683
WRITE  gpa=0x00000001229e3000  ts=733038105246213
WRITE  gpa=0x000000011f58f000  ts=733038105250143
WRITE  gpa=0x00000001085d2000  ts=733038105254963
WRITE  gpa=0x000000011f2b2000  ts=733038105259333
WRITE  gpa=0x000000244b81b000  ts=733038105262423
WRITE  gpa=0x0000000108890000  ts=733038105265223
WRITE  gpa=0x000000010960f000  ts=733038105269553
WRITE  gpa=0x0000000100d61000  ts=733038105279943
WRITE  gpa=0x0000000100323000  ts=733038105283613
WRITE  gpa=0x0000000100db0000  ts=733038105286623
WRITE  gpa=0x000000011ed6e000  ts=733038105289953
WRITE  gpa=0x000000010004f000  ts=733038105293633
WRITE  gpa=0x0000000100123000  ts=733038105296993
WRITE  gpa=0x0000000100310000  ts=733038105300773
WRITE  gpa=0x000000011f509000  ts=733038105304193
WRITE  gpa=0x000000011f576000  ts=733038105307353
WRITE  gpa=0x000000011f50a000  ts=733038105310303
WRITE  gpa=0x0000000103b4d000  ts=733038105313453
WRITE  gpa=0x000000011f2b3000  ts=733038105317193
WRITE  gpa=0x000000011f4ee000  ts=733038105320223
WRITE  gpa=0x000000244bfd4000  ts=733038105322953
WRITE  gpa=0x000000011edd8000  ts=733038105327713
WRITE  gpa=0x000000244b849000  ts=733038105331083
WRITE  gpa=0x0000000122e84000  ts=733038105334593
WRITE  gpa=0x0000003f7fc36000  ts=733038105338132
WRITE  gpa=0x0000000100288000  ts=733038105341412
WRITE  gpa=0x000000011ee8f000  ts=733038105345342
WRITE  gpa=0x000000011eee2000  ts=733038105349012
WRITE  gpa=0x000000011f810000  ts=733038105352622
WRITE  gpa=0x000000244b817000  ts=733038105355612
WRITE  gpa=0x0000000100db4000  ts=733038105357922
WRITE  gpa=0x0000000121601000  ts=733038105362602
WRITE  gpa=0x0000000121602000  ts=733038105368442
WRITE  gpa=0x0000000121607000  ts=733038105372042
WRITE  gpa=0x0000000103bbd000  ts=733038105375342
WRITE  gpa=0x000000011ee3c000  ts=733038105378842
WRITE  gpa=0x000000012149c000  ts=733038105382712
WRITE  gpa=0x00000001229e2000  ts=733038105387652
WRITE  gpa=0x0000000116fdb000  ts=733038105391542
WRITE  gpa=0x000000012149d000  ts=733038105400472
WRITE  gpa=0x000000011ef5f000  ts=733038105405312
WRITE  gpa=0x0000000121606000  ts=733038105410552
WRITE  gpa=0x000000010bd02000  ts=733038105414852
WRITE  gpa=0x000000010932d000  ts=733038105420322
WRITE  gpa=0x000000010b9de000  ts=733038105424232
WRITE  gpa=0x00000001093b1000  ts=733038105427952
WRITE  gpa=0x000000010e370000  ts=733038105432172
WRITE  gpa=0x0000000121fe9000  ts=733038105438981
WRITE  gpa=0x000000011d004000  ts=733038105445271
WRITE  gpa=0x000000010e406000  ts=733038105448741
WRITE  gpa=0x000000010a576000  ts=733038105452901
WRITE  gpa=0x000000010b90f000  ts=733038105456581
WRITE  gpa=0x000000010917d000  ts=733038105460431
